bbl,address,on_dhcr_list,stab_units_by_year,stab_units_ever_nonzero,stab_units_latest_year,unit_count,year_built,building_class,is_condo_coop,abatement_type,abatement_end_year,stab_unit_trend,stabilization_confidence,stabilization_confidence_reason,hpd_violation_count_total,hpd_violation_count_open,hpd_violation_count_class_c,hpd_violation_count_open_class_c,building_safety_tier,building_safety_tier_reason
3026440038,913 LORIMER STREET,0,,0,,2.0,1901.0,B9,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",,,,,unknown,no HPD violation data loaded for this BBL (not the same as a clean record -- see docstring)
3026440039,909 LORIMER STREET,0,,0,,2.0,1901.0,B9,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",,,,,unknown,no HPD violation data loaded for this BBL (not the same as a clean record -- see docstring)
3026440040,907 LORIMER STREET,0,,0,,2.0,1901.0,B9,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",,,,,unknown,no HPD violation data loaded for this BBL (not the same as a clean record -- see docstring)
3026440041,905 LORIMER STREET,0,,0,,2.0,1931.0,S2,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",11.0,11.0,0.0,0.0,some_issues,11 open HPD violations (none class C)
3026440043,57 NASSAU AVENUE,0,,0,,0.0,1931.0,K1,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",,,,,unknown,no HPD violation data loaded for this BBL (not the same as a clean record -- see docstring)
3026440045,53 NASSAU AVENUE,0,,0,,0.0,1931.0,O5,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",,,,,unknown,no HPD violation data loaded for this BBL (not the same as a clean record -- see docstring)
3026440050,74 GUERNSEY STREET,0,,0,,0.0,1931.0,K1,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",,,,,unknown,no HPD violation data loaded for this BBL (not the same as a clean record -- see docstring)
3026440055,84 GUERNSEY STREET,0,,0,,3.0,1901.0,C0,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",4.0,3.0,0.0,0.0,some_issues,3 open HPD violations (none class C)
3026440056,86 GUERNSEY STREET,0,,0,,5.0,1930.0,C2,0,,,not found in any historical mirror year (2009/2011/2012/2013),unknown,"no DHCR registration, abatement, or nycdb unit-count signal, and doesn't meet the pre-1974/6+ unit/non-condo fallback heuristic",3.0,3.0,0.0,0.0,some_issues,3 open HPD violations (none class C)
3026440057,88 GUERNSEY STREET,0,,0,,8.0,1901.0,C1,0,,,not found in any historical mirror year (2009/2011/2012/2013),low,"heuristic only: built before 1974, 6+ units, not a co-op/condo, but no DHCR registration, abatement, or nycdb unit-count record found",,,,,unknown,no HPD violation data loaded for this BBL (not the same as a clean record -- see docstring)
