10002,37 TO 39            ,CLINTON                       ,ST        ,                    ,                    ,                    
10002,84,CLINTON                       ,ST        ,                    ,                    ,                    
10002,93,CLINTON                       ,ST        ,                    ,                    ,                    
10002,23,CLINTON                       ,ST        ,                    ,,                    
10002,1 TO 7              ,CLINTON                       ,ST        ,                    ,,                    
10002,47,CLINTON                       ,ST        ,                    ,,                    
10002,101,CLINTON                       ,ST        ,                    ,,                    
10002,91,CLINTON                       ,ST        ,                    ,,                    
10002,97,CLINTON                       ,ST        ,                    ,,                    
10002,86,CLINTON                       ,ST        ,                    ,,                    
10002,207,CLINTON                       ,ST        ,                    ,,                    
10002,105,CLINTON                       ,ST        ,                    ,,                    
10002,107,CLINTON                       ,ST        ,                    ,,                    
10002,42,CLINTON                       ,ST        ,                    ,,                    
10002,61,CLINTON                       ,ST        ,                    ,,                    
10002,63,CLINTON                       ,ST        ,                    ,,                    
10002,79,CLINTON                       ,ST        ,                    ,,                    
10002,55,CLINTON                       ,ST        ,                    ,,                    
10002,6,CLINTON                       ,ST        ,                    ,,                    
10002,16,CLINTON                       ,ST        ,                    ,,                    
10002,43,CLINTON                       ,ST        ,                    ,,                    
10002,49,CLINTON                       ,ST        ,                    ,,                    
10002,25,CLINTON                       ,ST        ,                    ,,                    
10002,71,CLINTON                       ,ST        ,                    ,,                    
10002,87,CLINTON                       ,ST        ,GARDEN COMPLEX      ,,                    
10002,95,CLINTON                       ,ST        ,LIHTC               ,,ARTICLES 14 & 15    
10002,99,CLINTON                       ,ST        ,LIHTC               ,,MULTIPLE DWELLING   
10002,78,CLINTON                       ,ST        ,LIHTC               ,,MULTIPLE DWELLING   
10002,18 TO 24            ,CLINTON                       ,ST        ,NON-EVICT COOP/CONDO,,                    
10002,204 TO 206          ,CLINTON                       ,ST        ,,,                    
10002,28 TO 30            ,CLINTON                       ,ST        ,,,                    
10002,13 TO 15            ,CLINTON                       ,ST        ,,,                    
10002,45,CLINTON                       ,ST        ,,,                    
10002,27 TO 29            ,CLINTON                       ,ST        ,,,
10002,201,CLINTON                       ,ST        ,,,
10002,55,DELANCEY                      ,ST        ,                    ,                    ,                    
10002,61,DELANCEY                      ,ST        ,                    ,                    ,                    
10002,168.5,DELANCEY                      ,ST        ,                    ,,                    
10002,174,DELANCEY                      ,ST        ,                    ,,                    
10002,170,DELANCEY                      ,ST        ,                    ,,                    
10002,174,DELANCEY                      ,ST        ,                    ,,                    
10002,46,DELANCEY                      ,ST        ,                    ,,                    
10002,9 TO 11             ,DELANCEY                      ,ST        ,                    ,,                    
10002,101,DELANCEY                      ,ST        ,                    ,,                    
10002,10,DELANCEY                      ,ST        ,                    ,,                    
10002,12,DELANCEY                      ,ST        ,                    ,,                    
10002,81,DELANCEY                      ,ST        ,                    ,,                    
10002,80,DELANCEY                      ,ST        ,                    ,,                    
